player,season,matches,starts,sub_in,sub_out,goals,assists,yellow_cards,red_cards,goals_per_match,assists_per_match,goal_contributions_per_match,champions_league_matches,champions_league_goals,champions_league_assists,domestic_matches,domestic_goals,domestic_assists,left_foot_goals,right_foot_goals,header_goals,penalty_goals,inside_box_goals,outside_box_goals,free_kick_goals,trophies_count
Kylian Mbappé,2025/26,43,40,3,10,42,6,6,0,0.9767,0.1395,1.1163,11,15,1,32,27,5,3,37,2,12,33,9,0,0
Vinicius Junior,2025/26,51,46,5,17,21,10,10,0,0.4118,0.1961,0.6078,14,5,5,37,16,5,3,18,0,5,19,2,0,0
Jude Bellingham,2025/26,38,28,10,8,8,5,6,0,0.2105,0.1316,0.3421,9,2,1,29,6,4,3,4,1,0,7,1,0,0
Harry Kane,2025/26,50,43,7,15,60,7,2,0,1.2,0.14,1.34,13,14,2,37,46,5,9,43,8,17,53,7,1,3
Rodri,2025/26,33,26,7,11,2,0,6,1,0.0606,0.0,0.0606,5,0,0,28,2,0,0,1,1,0,1,1,0,3
Erling Haaland,2025/26,52,48,4,16,38,9,2,0,0.7308,0.1731,0.9038,10,8,0,42,30,9,28,4,6,5,37,1,0,2
Lautaro Martínez,2025/26,40,35,5,30,22,6,6,0,0.55,0.15,0.7,8,4,0,32,18,6,6,12,4,0,22,0,0,2
Bukayo Saka,2025/26,49,37,12,16,11,7,3,0,0.2245,0.1429,0.3673,11,3,2,38,8,5,8,2,1,2,11,0,0,2
Phil Foden,2025/26,50,33,17,18,10,7,5,0,0.2,0.14,0.34,7,2,1,43,8,6,7,1,2,0,5,5,0,2
Lamine Yamal,2025/26,43,41,2,13,24,17,6,0,0.5581,0.3953,0.9535,10,6,4,33,18,13,22,2,0,6,21,3,0,4
Mohamed Salah,2025/26,40,33,7,12,12,10,1,0,0.3,0.25,0.55,10,3,2,30,9,8,9,3,0,2,10,2,1,0
Robert Lewandowski,2025/26,45,26,19,15,18,2,2,0,0.4,0.0444,0.4444,11,4,0,34,14,2,4,8,5,1,18,0,0,3
Federico Valverde,2025/26,47,45,2,9,8,12,3,1,0.1702,0.2553,0.4255,13,3,4,34,5,8,1,7,0,0,5,3,0,0
Martin Ødegaard,2025/26,36,23,13,15,1,7,0,0,0.0278,0.1944,0.2222,8,0,1,28,1,6,1,0,0,0,0,1,0,2
Rúben Dias,2025/26,33,30,3,3,2,0,4,0,0.0606,0.0,0.0606,7,0,0,26,2,0,0,2,0,0,1,1,0,2
Lionel Messi,2025/26,34,32,2,0,35,23,4,0,1.0294,0.6765,1.7059,0,0,0,34,35,23,31,2,2,1,25,10,2,1
Michael Olise,2025/26,51,41,10,15,22,26,11,0,0.4314,0.5098,0.9412,13,5,6,38,17,20,19,3,0,0,17,5,0,3
Ousmane Dembélé,2025/26,38,24,14,18,20,10,0,0,0.5263,0.2632,0.7895,14,9,2,24,11,8,7,12,1,5,18,2,0,5
