player,season,matches,starts,sub_in,sub_out,goals,assists,yellow_cards,red_cards,status,source_url,competition_rows,position_rows,goal_details,trophies_2025_26
Kylian Mbappé,2025/26,43,40,3,10,42,6,6,0,ok,https://www.footmercato.net/joueur/kylian-mbappe/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 11, ""goals"": 15, ""assists"": 1, ""sub_in"": 1, ""sub_out"": 1, ""yellow_cards"": 2, ""red_cards"": 0}, {""competition"": ""Liga"", ""matches"": 31, ""goals"": 25, ""assists"": 5, ""sub_in"": 2, ""sub_out"": 9, ""yellow_cards"": 4, ""red_cards"": 0}, {""competition"": ""Coupe du Roi"", ""matches"": 1, ""goals"": 2, ""assists"": 0, ""sub_in"": 0, ""sub_out"": 0, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""position"": ""BU"", ""matches"": 23, ""starts"": 23, ""goals"": 31, ""assists"": 3, ""yellow_cards"": 2, ""red_cards"": 0}, {""position"": ""Remplaçant"", ""matches"": 6, ""starts"": 0, ""goals"": 1, ""assists"": 1, ""yellow_cards"": 2, ""red_cards"": 0}, {""position"": ""AVD"", ""matches"": 12, ""starts"": 12, ""goals"": 8, ""assists"": 2, ""yellow_cards"": 2, ""red_cards"": 0}, {""position"": ""AVG"", ""matches"": 6, ""starts"": 6, ""goals"": 4, ""assists"": 1, ""yellow_cards"": 1, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 7, ""goals"": 3}, {""type"": ""Du pied droit"", ""percentage"": 88, ""goals"": 37}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 79, ""goals"": 33}, {""type"": ""De la tête"", ""percentage"": 5, ""goals"": 2}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 21, ""goals"": 9}, {""type"": ""Sur pénalty"", ""percentage"": 29, ""goals"": 12}, {""type"": ""Sur coup franc direct"", ""percentage"": 0, ""goals"": 0}]",[]
Vinicius Junior,2025/26,51,46,5,17,21,10,10,0,ok,https://www.footmercato.net/joueur/vinicius-jr/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 14, ""goals"": 5, ""assists"": 5, ""sub_in"": 1, ""sub_out"": 3, ""yellow_cards"": 2, ""red_cards"": 0}, {""competition"": ""Liga"", ""matches"": 36, ""goals"": 16, ""assists"": 5, ""sub_in"": 4, ""sub_out"": 14, ""yellow_cards"": 8, ""red_cards"": 0}, {""competition"": ""Coupe du Roi"", ""matches"": 1, ""goals"": 0, ""assists"": 0, ""sub_in"": 0, ""sub_out"": 0, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""position"": ""MG"", ""matches"": 4, ""starts"": 4, ""goals"": 2, ""assists"": 1, ""yellow_cards"": 3, ""red_cards"": 0}, {""position"": ""AVG"", ""matches"": 37, ""starts"": 37, ""goals"": 15, ""assists"": 5, ""yellow_cards"": 6, ""red_cards"": 0}, {""position"": ""Remplaçant"", ""matches"": 5, ""starts"": 0, ""goals"": 1, ""assists"": 1, ""yellow_cards"": 1, ""red_cards"": 0}, {""position"": ""MOG"", ""matches"": 10, ""starts"": 10, ""goals"": 4, ""assists"": 3, ""yellow_cards"": 2, ""red_cards"": 0}, {""position"": ""AVD"", ""matches"": 2, ""starts"": 2, ""goals"": 1, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MOCG"", ""matches"": 1, ""starts"": 1, ""goals"": 1, ""assists"": 1, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 14, ""goals"": 3}, {""type"": ""Du pied droit"", ""percentage"": 86, ""goals"": 18}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 90, ""goals"": 19}, {""type"": ""De la tête"", ""percentage"": 0, ""goals"": 0}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 10, ""goals"": 2}, {""type"": ""Sur pénalty"", ""percentage"": 24, ""goals"": 5}, {""type"": ""Sur coup franc direct"", ""percentage"": 0, ""goals"": 0}]",[]
Jude Bellingham,2025/26,38,28,10,8,8,5,6,0,ok,https://www.footmercato.net/joueur/jude-bellingham/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 9, ""goals"": 2, ""assists"": 1, ""sub_in"": 3, ""sub_out"": 0, ""yellow_cards"": 2, ""red_cards"": 0}, {""competition"": ""Liga"", ""matches"": 28, ""goals"": 6, ""assists"": 4, ""sub_in"": 6, ""sub_out"": 8, ""yellow_cards"": 3, ""red_cards"": 0}, {""competition"": ""Coupe du Roi"", ""matches"": 1, ""goals"": 0, ""assists"": 0, ""sub_in"": 1, ""sub_out"": 0, ""yellow_cards"": 1, ""red_cards"": 0}]","[{""position"": ""MCG"", ""matches"": 10, ""starts"": 10, ""goals"": 4, ""assists"": 0, ""yellow_cards"": 2, ""red_cards"": 0}, {""position"": ""Remplaçant"", ""matches"": 10, ""starts"": 0, ""goals"": 1, ""assists"": 0, ""yellow_cards"": 1, ""red_cards"": 0}, {""position"": ""MOC"", ""matches"": 7, ""starts"": 7, ""goals"": 1, ""assists"": 1, ""yellow_cards"": 1, ""red_cards"": 0}, {""position"": ""MG"", ""matches"": 5, ""starts"": 5, ""goals"": 0, ""assists"": 2, ""yellow_cards"": 1, ""red_cards"": 0}, {""position"": ""AVD"", ""matches"": 1, ""starts"": 1, ""goals"": 0, ""assists"": 1, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MDG"", ""matches"": 1, ""starts"": 1, ""goals"": 0, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MD"", ""matches"": 1, ""starts"": 1, ""goals"": 1, ""assists"": 1, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MOCG"", ""matches"": 1, ""starts"": 1, ""goals"": 0, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MCD"", ""matches"": 10, ""starts"": 10, ""goals"": 2, ""assists"": 1, ""yellow_cards"": 2, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 38, ""goals"": 3}, {""type"": ""Du pied droit"", ""percentage"": 50, ""goals"": 4}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 88, ""goals"": 7}, {""type"": ""De la tête"", ""percentage"": 13, ""goals"": 1}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 13, ""goals"": 1}, {""type"": ""Sur pénalty"", ""percentage"": 0, ""goals"": 0}, {""type"": ""Sur coup franc direct"", ""percentage"": 0, ""goals"": 0}]",[]
Harry Kane,2025/26,50,43,7,15,60,7,2,0,ok,https://www.footmercato.net/joueur/harry-kane/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 13, ""goals"": 14, ""assists"": 2, ""sub_in"": 1, ""sub_out"": 6, ""yellow_cards"": 0, ""red_cards"": 0}, {""competition"": ""Bundesliga"", ""matches"": 31, ""goals"": 36, ""assists"": 5, ""sub_in"": 6, ""sub_out"": 8, ""yellow_cards"": 1, ""red_cards"": 0}, {""competition"": ""Coupe d'Allemagne"", ""matches"": 6, ""goals"": 10, ""assists"": 0, ""sub_in"": 0, ""sub_out"": 1, ""yellow_cards"": 1, ""red_cards"": 0}]","[{""position"": ""BU"", ""matches"": 43, ""starts"": 43, ""goals"": 51, ""assists"": 7, ""yellow_cards"": 4, ""red_cards"": 0}, {""position"": ""AVD"", ""matches"": 1, ""starts"": 1, ""goals"": 1, ""assists"": 1, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""Remplaçant"", ""matches"": 8, ""starts"": 0, ""goals"": 7, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MOC"", ""matches"": 4, ""starts"": 4, ""goals"": 6, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 15, ""goals"": 9}, {""type"": ""Du pied droit"", ""percentage"": 72, ""goals"": 43}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 88, ""goals"": 53}, {""type"": ""De la tête"", ""percentage"": 13, ""goals"": 8}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 12, ""goals"": 7}, {""type"": ""Sur pénalty"", ""percentage"": 28, ""goals"": 17}, {""type"": ""Sur coup franc direct"", ""percentage"": 2, ""goals"": 1}]","[{""competition"": ""Bundesliga"", ""season"": ""2025/26""}, {""competition"": ""Coupe d'Allemagne"", ""season"": ""2025/26""}, {""competition"": ""Super Coupe d'Allemagne"", ""season"": ""2025/26""}]"
Rodri,2025/26,33,26,7,11,2,0,6,1,ok,https://www.footmercato.net/joueur/rodri/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 5, ""goals"": 0, ""assists"": 0, ""sub_in"": 0, ""sub_out"": 3, ""yellow_cards"": 1, ""red_cards"": 1}, {""competition"": ""Premier League"", ""matches"": 21, ""goals"": 1, ""assists"": 0, ""sub_in"": 4, ""sub_out"": 5, ""yellow_cards"": 3, ""red_cards"": 0}, {""competition"": ""League Cup"", ""matches"": 3, ""goals"": 0, ""assists"": 0, ""sub_in"": 2, ""sub_out"": 0, ""yellow_cards"": 1, ""red_cards"": 0}, {""competition"": ""The Emirates FA Cup"", ""matches"": 4, ""goals"": 1, ""assists"": 0, ""sub_in"": 1, ""sub_out"": 3, ""yellow_cards"": 1, ""red_cards"": 0}]","[{""position"": ""Remplaçant"", ""matches"": 10, ""starts"": 0, ""goals"": 0, ""assists"": 1, ""yellow_cards"": 1, ""red_cards"": 0}, {""position"": ""MDC"", ""matches"": 18, ""starts"": 18, ""goals"": 2, ""assists"": 0, ""yellow_cards"": 4, ""red_cards"": 0}, {""position"": ""MDCD"", ""matches"": 3, ""starts"": 3, ""goals"": 0, ""assists"": 0, ""yellow_cards"": 1, ""red_cards"": 0}, {""position"": ""MC"", ""matches"": 3, ""starts"": 3, ""goals"": 0, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 1}, {""position"": ""MDCG"", ""matches"": 3, ""starts"": 3, ""goals"": 0, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 0, ""goals"": 0}, {""type"": ""Du pied droit"", ""percentage"": 50, ""goals"": 1}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 50, ""goals"": 1}, {""type"": ""De la tête"", ""percentage"": 50, ""goals"": 1}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 50, ""goals"": 1}, {""type"": ""Sur pénalty"", ""percentage"": 0, ""goals"": 0}, {""type"": ""Sur coup franc direct"", ""percentage"": 0, ""goals"": 0}]","[{""competition"": ""Coupe du Monde"", ""season"": ""2025/26""}, {""competition"": ""League Cup"", ""season"": ""2025/26""}, {""competition"": ""The Emirates FA Cup"", ""season"": ""2025/26""}]"
Erling Haaland,2025/26,52,48,4,16,38,9,2,0,ok,https://www.footmercato.net/joueur/erling-haland/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 10, ""goals"": 8, ""assists"": 0, ""sub_in"": 1, ""sub_out"": 6, ""yellow_cards"": 0, ""red_cards"": 0}, {""competition"": ""Premier League"", ""matches"": 35, ""goals"": 27, ""assists"": 8, ""sub_in"": 1, ""sub_out"": 8, ""yellow_cards"": 2, ""red_cards"": 0}, {""competition"": ""League Cup"", ""matches"": 3, ""goals"": 0, ""assists"": 0, ""sub_in"": 1, ""sub_out"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""competition"": ""The Emirates FA Cup"", ""matches"": 4, ""goals"": 3, ""assists"": 1, ""sub_in"": 1, ""sub_out"": 2, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""position"": ""AVD"", ""matches"": 7, ""starts"": 7, ""goals"": 3, ""assists"": 4, ""yellow_cards"": 1, ""red_cards"": 0}, {""position"": ""AVG"", ""matches"": 2, ""starts"": 2, ""goals"": 0, ""assists"": 1, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""Remplaçant"", ""matches"": 6, ""starts"": 0, ""goals"": 1, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""BU"", ""matches"": 41, ""starts"": 41, ""goals"": 37, ""assists"": 5, ""yellow_cards"": 1, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 74, ""goals"": 28}, {""type"": ""Du pied droit"", ""percentage"": 11, ""goals"": 4}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 97, ""goals"": 37}, {""type"": ""De la tête"", ""percentage"": 16, ""goals"": 6}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 3, ""goals"": 1}, {""type"": ""Sur pénalty"", ""percentage"": 13, ""goals"": 5}, {""type"": ""Sur coup franc direct"", ""percentage"": 0, ""goals"": 0}]","[{""competition"": ""League Cup"", ""season"": ""2025/26""}, {""competition"": ""The Emirates FA Cup"", ""season"": ""2025/26""}]"
Lautaro Martínez,2025/26,40,35,5,30,22,6,6,0,ok,https://www.footmercato.net/joueur/lautaro-martinez/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 8, ""goals"": 4, ""assists"": 0, ""sub_in"": 1, ""sub_out"": 6, ""yellow_cards"": 2, ""red_cards"": 0}, {""competition"": ""Serie A"", ""matches"": 30, ""goals"": 17, ""assists"": 6, ""sub_in"": 3, ""sub_out"": 23, ""yellow_cards"": 4, ""red_cards"": 0}, {""competition"": ""Coppa Italia"", ""matches"": 2, ""goals"": 1, ""assists"": 0, ""sub_in"": 1, ""sub_out"": 1, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""position"": ""AVG"", ""matches"": 28, ""starts"": 28, ""goals"": 16, ""assists"": 3, ""yellow_cards"": 7, ""red_cards"": 0}, {""position"": ""AVD"", ""matches"": 11, ""starts"": 11, ""goals"": 8, ""assists"": 3, ""yellow_cards"": 1, ""red_cards"": 0}, {""position"": ""Remplaçant"", ""matches"": 6, ""starts"": 0, ""goals"": 0, ""assists"": 1, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 27, ""goals"": 6}, {""type"": ""Du pied droit"", ""percentage"": 55, ""goals"": 12}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 100, ""goals"": 22}, {""type"": ""De la tête"", ""percentage"": 18, ""goals"": 4}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 0, ""goals"": 0}, {""type"": ""Sur pénalty"", ""percentage"": 0, ""goals"": 0}, {""type"": ""Sur coup franc direct"", ""percentage"": 0, ""goals"": 0}]","[{""competition"": ""Serie A"", ""season"": ""2025/26""}, {""competition"": ""Coppa Italia"", ""season"": ""2025/26""}]"
Bukayo Saka,2025/26,49,37,12,16,11,7,3,0,ok,https://www.footmercato.net/joueur/bukayo-saka/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 11, ""goals"": 3, ""assists"": 2, ""sub_in"": 3, ""sub_out"": 4, ""yellow_cards"": 1, ""red_cards"": 0}, {""competition"": ""Premier League"", ""matches"": 31, ""goals"": 7, ""assists"": 5, ""sub_in"": 6, ""sub_out"": 10, ""yellow_cards"": 2, ""red_cards"": 0}, {""competition"": ""League Cup"", ""matches"": 5, ""goals"": 1, ""assists"": 0, ""sub_in"": 2, ""sub_out"": 1, ""yellow_cards"": 0, ""red_cards"": 0}, {""competition"": ""The Emirates FA Cup"", ""matches"": 2, ""goals"": 0, ""assists"": 0, ""sub_in"": 1, ""sub_out"": 1, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""position"": ""MOC"", ""matches"": 2, ""starts"": 2, ""goals"": 1, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MOD"", ""matches"": 15, ""starts"": 15, ""goals"": 4, ""assists"": 2, ""yellow_cards"": 2, ""red_cards"": 0}, {""position"": ""AVD"", ""matches"": 20, ""starts"": 20, ""goals"": 3, ""assists"": 4, ""yellow_cards"": 1, ""red_cards"": 0}, {""position"": ""Remplaçant"", ""matches"": 12, ""starts"": 0, ""goals"": 3, ""assists"": 1, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 73, ""goals"": 8}, {""type"": ""Du pied droit"", ""percentage"": 18, ""goals"": 2}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 100, ""goals"": 11}, {""type"": ""De la tête"", ""percentage"": 9, ""goals"": 1}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 0, ""goals"": 0}, {""type"": ""Sur pénalty"", ""percentage"": 18, ""goals"": 2}, {""type"": ""Sur coup franc direct"", ""percentage"": 0, ""goals"": 0}]","[{""competition"": ""Premier League"", ""season"": ""2025/26""}, {""competition"": ""Emirates Cup"", ""season"": ""2025/26""}]"
Phil Foden,2025/26,50,33,17,18,10,7,5,0,ok,https://www.footmercato.net/joueur/phil-foden/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 7, ""goals"": 2, ""assists"": 1, ""sub_in"": 2, ""sub_out"": 2, ""yellow_cards"": 1, ""red_cards"": 0}, {""competition"": ""Premier League"", ""matches"": 33, ""goals"": 7, ""assists"": 5, ""sub_in"": 10, ""sub_out"": 10, ""yellow_cards"": 4, ""red_cards"": 0}, {""competition"": ""League Cup"", ""matches"": 6, ""goals"": 1, ""assists"": 1, ""sub_in"": 3, ""sub_out"": 4, ""yellow_cards"": 0, ""red_cards"": 0}, {""competition"": ""The Emirates FA Cup"", ""matches"": 4, ""goals"": 0, ""assists"": 0, ""sub_in"": 2, ""sub_out"": 2, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""position"": ""AVG"", ""matches"": 1, ""starts"": 1, ""goals"": 0, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""Remplaçant"", ""matches"": 20, ""starts"": 0, ""goals"": 2, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MDCD"", ""matches"": 1, ""starts"": 1, ""goals"": 0, ""assists"": 2, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MCG"", ""matches"": 13, ""starts"": 13, ""goals"": 4, ""assists"": 2, ""yellow_cards"": 3, ""red_cards"": 0}, {""position"": ""MCD"", ""matches"": 9, ""starts"": 9, ""goals"": 2, ""assists"": 4, ""yellow_cards"": 2, ""red_cards"": 0}, {""position"": ""MD"", ""matches"": 1, ""starts"": 1, ""goals"": 0, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""AVD"", ""matches"": 2, ""starts"": 2, ""goals"": 3, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MOCG"", ""matches"": 4, ""starts"": 4, ""goals"": 1, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MOCD"", ""matches"": 2, ""starts"": 2, ""goals"": 2, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MOD"", ""matches"": 1, ""starts"": 1, ""goals"": 0, ""assists"": 0, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 70, ""goals"": 7}, {""type"": ""Du pied droit"", ""percentage"": 10, ""goals"": 1}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 50, ""goals"": 5}, {""type"": ""De la tête"", ""percentage"": 20, ""goals"": 2}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 50, ""goals"": 5}, {""type"": ""Sur pénalty"", ""percentage"": 0, ""goals"": 0}, {""type"": ""Sur coup franc direct"", ""percentage"": 0, ""goals"": 0}]","[{""competition"": ""League Cup"", ""season"": ""2025/26""}, {""competition"": ""The Emirates FA Cup"", ""season"": ""2025/26""}]"
Lamine Yamal,2025/26,43,41,2,13,24,17,6,0,ok,https://www.footmercato.net/joueur/lamine-yamal-nasraoui-ebana/statistique,"[{""competition"": ""Ligue des Champions UEFA"", ""matches"": 10, ""goals"": 6, ""assists"": 4, ""sub_in"": 0, ""sub_out"": 3, ""yellow_cards"": 4, ""red_cards"": 0}, {""competition"": ""Liga"", ""matches"": 28, ""goals"": 16, ""assists"": 11, ""sub_in"": 2, ""sub_out"": 10, ""yellow_cards"": 1, ""red_cards"": 0}, {""competition"": ""Coupe du Roi"", ""matches"": 5, ""goals"": 2, ""assists"": 2, ""sub_in"": 0, ""sub_out"": 0, ""yellow_cards"": 1, ""red_cards"": 0}]","[{""position"": ""MOD"", ""matches"": 29, ""starts"": 29, ""goals"": 15, ""assists"": 12, ""yellow_cards"": 6, ""red_cards"": 0}, {""position"": ""AVD"", ""matches"": 11, ""starts"": 11, ""goals"": 8, ""assists"": 3, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""MOC"", ""matches"": 2, ""starts"": 2, ""goals"": 1, ""assists"": 1, ""yellow_cards"": 0, ""red_cards"": 0}, {""position"": ""Remplaçant"", ""matches"": 3, ""starts"": 0, ""goals"": 0, ""assists"": 1, ""yellow_cards"": 0, ""red_cards"": 0}]","[{""type"": ""Du pied gauche"", ""percentage"": 92, ""goals"": 22}, {""type"": ""Du pied droit"", ""percentage"": 8, ""goals"": 2}, {""type"": ""De l'intérieur de la surface"", ""percentage"": 88, ""goals"": 21}, {""type"": ""De la tête"", ""percentage"": 0, ""goals"": 0}, {""type"": ""De l'extérieur de la surface"", ""percentage"": 13, ""goals"": 3}, {""type"": ""Sur pénalty"", ""percentage"": 25, ""goals"": 6}, {""type"": ""Sur coup franc direct"", ""percentage"": 0, ""goals"": 0}]","[{""competition"": ""Coupe du Monde"", ""season"": ""2025/26""}, {""competition"": ""Liga"", ""season"": ""2025/26""}, {""competition"": ""Supercoupe d'Espagne"", ""season"": ""2025/26""}, {""competition"": ""Trophée Joan Gamper"", ""season"": ""2025/26""}]"
